,Survived,Pclass,Sex,Age,Fare,family
761,0,3,1,41.0,7.125,1
762,1,3,1,20.0,7.2292,1
763,1,1,0,36.0,120.0,4
764,0,3,1,16.0,7.775,1
765,1,1,0,51.0,77.9583,2
766,0,1,1,28.0,39.6,1
767,0,3,0,30.5,7.75,1
768,0,3,1,28.0,24.15,2
769,0,3,1,32.0,8.3625,1
770,0,3,1,24.0,9.5,1
771,0,3,1,48.0,7.8542,1
772,0,2,0,57.0,10.5,1
773,0,3,1,28.0,7.225,1
774,1,2,0,54.0,23.0,5
775,0,3,1,18.0,7.75,1
776,0,3,1,28.0,7.75,1
777,1,3,0,5.0,12.475,1
778,0,3,1,28.0,7.7375,1
779,1,1,0,43.0,211.3375,2
780,1,3,0,13.0,7.2292,1
781,1,1,0,17.0,57.0,2
782,0,1,1,29.0,30.0,1
783,0,3,1,28.0,23.45,4
784,0,3,1,25.0,7.05,1
785,0,3,1,25.0,7.25,1
786,1,3,0,18.0,7.4958,1
787,0,3,1,8.0,29.125,6
788,1,3,1,1.0,20.575,4
789,0,1,1,46.0,79.2,1
790,0,3,1,28.0,7.75,1
791,0,2,1,16.0,26.0,1
792,0,3,0,28.0,69.55,11
793,0,1,1,28.0,30.6958,1
794,0,3,1,25.0,7.8958,1
795,0,2,1,39.0,13.0,1
796,1,1,0,49.0,25.9292,1
797,1,3,0,31.0,8.6833,1
798,0,3,1,30.0,7.2292,1
799,0,3,0,30.0,24.15,3
800,0,2,1,34.0,13.0,1
801,1,2,0,31.0,26.25,3
802,1,1,1,11.0,120.0,4
803,1,3,1,0.42,8.5167,2
804,1,3,1,27.0,6.975,1
805,0,3,1,31.0,7.775,1
806,0,1,1,39.0,0.0,1
807,0,3,0,18.0,7.775,1
808,0,2,1,39.0,13.0,1
809,1,1,0,33.0,53.1,2
810,0,3,1,26.0,7.8875,1
811,0,3,1,39.0,24.15,1
812,0,2,1,35.0,10.5,1
813,0,3,0,6.0,31.275,7
814,0,3,1,30.5,8.05,1
815,0,1,1,28.0,0.0,1
816,0,3,0,23.0,7.925,1
817,0,2,1,31.0,37.0042,3
818,0,3,1,43.0,6.45,1
819,0,3,1,10.0,27.9,6
820,1,1,0,52.0,93.5,3
821,1,3,1,27.0,8.6625,1
822,0,1,1,38.0,0.0,1
823,1,3,0,27.0,12.475,2
824,0,3,1,2.0,39.6875,6
825,0,3,1,28.0,6.95,1
826,0,3,1,28.0,56.4958,1
827,1,2,1,1.0,37.0042,3
828,1,3,1,28.0,7.75,1
829,1,1,0,62.0,80.0,1
830,1,3,0,15.0,14.4542,2
831,1,2,1,0.83,18.75,3
832,0,3,1,28.0,7.2292,1
833,0,3,1,23.0,7.8542,1
834,0,3,1,18.0,8.3,1
835,1,1,0,39.0,83.1583,3
836,0,3,1,21.0,8.6625,1
837,0,3,1,28.0,8.05,1
838,1,3,1,32.0,56.4958,1
839,1,1,1,28.0,29.7,1
840,0,3,1,20.0,7.925,1
841,0,2,1,16.0,10.5,1
842,1,1,0,30.0,31.0,1
843,0,3,1,34.5,6.4375,1
844,0,3,1,17.0,8.6625,1
845,0,3,1,42.0,7.55,1
846,0,3,1,28.0,69.55,11
847,0,3,1,35.0,7.8958,1
848,0,2,1,28.0,33.0,2
849,1,1,0,28.0,89.1042,2
850,0,3,1,4.0,31.275,7
851,0,3,1,74.0,7.775,1
852,0,3,0,9.0,15.2458,3
853,1,1,0,16.0,39.4,2
854,0,2,0,44.0,26.0,2
855,1,3,0,18.0,9.35,2
856,1,1,0,45.0,164.8667,3
857,1,1,1,51.0,26.55,1
858,1,3,0,24.0,19.2583,4
859,0,3,1,28.0,7.2292,1
860,0,3,1,41.0,14.1083,3
861,0,2,1,21.0,11.5,2
862,1,1,0,48.0,25.9292,1
863,0,3,0,28.0,69.55,11
864,0,2,1,24.0,13.0,1
865,1,2,0,42.0,13.0,1
866,1,2,0,27.0,13.8583,2
867,0,1,1,31.0,50.4958,1
868,0,3,1,28.0,9.5,1
869,1,3,1,4.0,11.1333,3
870,0,3,1,26.0,7.8958,1
871,1,1,0,47.0,52.5542,3
872,0,1,1,33.0,5.0,1
873,0,3,1,47.0,9.0,1
874,1,2,0,28.0,24.0,2
875,1,3,0,15.0,7.225,1
876,0,3,1,20.0,9.8458,1
877,0,3,1,19.0,7.8958,1
878,0,3,1,28.0,7.8958,1
879,1,1,0,56.0,83.1583,2
880,1,2,0,25.0,26.0,2
881,0,3,1,33.0,7.8958,1
882,0,3,0,22.0,10.5167,1
883,0,2,1,28.0,10.5,1
884,0,3,1,25.0,7.05,1
885,0,3,0,39.0,29.125,6
886,0,2,1,27.0,13.0,1
887,1,1,0,19.0,30.0,1
888,0,3,0,28.0,23.45,4
889,1,1,1,26.0,30.0,1
890,0,3,1,32.0,7.75,1
